ticker,category,snapshots,persistence_pct
GVA,Insider Selling,2,0.628930817610063
GVH,Top Gainers,18,5.660377358490567
HAFN,New High,1,0.3144654088050315
HAL,Insider Selling,8,2.515723270440252
HCAI,Most Active,14,4.40251572327044
HCAI,Top Gainers,26,8.176100628930817
HCAI,Unusual Volume,26,8.176100628930817
HKIT,Most Active,25,7.861635220125786
HKIT,New Low,8,2.515723270440252
HKIT,Top Gainers,15,4.716981132075472
HKIT,Top Losers,18,5.660377358490567
HKIT,Unusual Volume,26,8.176100628930817
HKPD,New Low,1,0.3144654088050315
HMH,Insider Buying,5,1.5723270440251573
HPAI,Unusual Volume,10,3.1446540880503147
HSPT,Top Gainers,1,0.3144654088050315
HTCO,Top Losers,9,2.8301886792452833
HTCR,New Low,10,3.1446540880503147
HTCR,Top Losers,4,1.257861635220126
HTFL,Insider Selling,1,0.3144654088050315
HTGC,Insider Buying,1,0.3144654088050315
HUBC,Top Gainers,20,6.289308176100629
HUBC,Unusual Volume,13,4.088050314465408
HUIZ,Unusual Volume,26,8.176100628930817
HURN,Insider Selling,6,1.8867924528301887
HWH,Top Losers,6,1.8867924528301887
IAUX,Insider Buying,1,0.3144654088050315
IBIO,Top Losers,1,0.3144654088050315
IBRX,Top Losers,12,3.7735849056603774
ICCM,New Low,26,8.176100628930817
ICU,Top Gainers,2,0.628930817610063
IDCC,Insider Selling,2,0.628930817610063
IDN,New High,2,0.628930817610063
IMA,New Low,5,1.5723270440251573
IMCC,New Low,4,1.257861635220126
IMMP,Oversold,4,1.257861635220126
IMNM,Insider Selling,2,0.628930817610063
INHD,New Low,75,23.58490566037736
INHD,Top Gainers,2,0.628930817610063
INHD,Top Losers,27,8.49056603773585
INHD,Unusual Volume,23,7.232704402515723
INLF,Top Losers,17,5.345911949685535
INO,Top Losers,26,8.176100628930817
IOBT,Most Active,1,0.3144654088050315
IOBT,Top Gainers,1,0.3144654088050315
IPST,Top Gainers,6,1.8867924528301887
IPST,Unusual Volume,26,8.176100628930817
IPW,Unusual Volume,3,0.9433962264150944
IQST,Top Losers,5,1.5723270440251573
IQST,Unusual Volume,1,0.3144654088050315
IRIX,Top Losers,2,0.628930817610063
IRMD,Insider Selling,2,0.628930817610063
ISPC,Most Active,25,7.861635220125786
ISPC,New Low,5,1.5723270440251573
ISPC,Top Gainers,4,1.257861635220126
ITOC,Top Gainers,16,5.031446540880504
ITRM,Most Active,25,7.861635220125786
ITRM,New Low,3,0.9433962264150944
ITRM,Top Gainers,25,7.861635220125786
ITRM,Unusual Volume,25,7.861635220125786
IVF,New Low,4,1.257861635220126
IZM,Unusual Volume,25,7.861635220125786
JCSE,New High,2,0.628930817610063
JCSE,Top Gainers,14,4.40251572327044
JDZG,Top Losers,1,0.3144654088050315
JEM,Most Active,16,5.031446540880504
JEM,Top Gainers,20,6.289308176100629
JFB,Insider Selling,3,0.9433962264150944
JFBR,Top Gainers,1,0.3144654088050315
JTAI,New Low,40,12.578616352201259
JTAI,Top Losers,15,4.716981132075472
JZ,Top Gainers,1,0.3144654088050315
JZ,Top Losers,26,8.176100628930817
KEYS,Insider Selling,1,0.3144654088050315
KLTR,Insider Buying,15,4.716981132075472
KLTR,Insider Selling,1,0.3144654088050315
KOD,New High,47,14.779874213836477
KOD,Top Gainers,26,8.176100628930817
KODK,New High,24,7.547169811320755
KOPN,Insider Selling,1,0.3144654088050315
KORE,Overbought,149,46.855345911949684
KPRO,Unusual Volume,15,4.716981132075472
KPRX,Unusual Volume,26,8.176100628930817
KRRO,Insider Buying,4,1.257861635220126
KRUS,Insider Selling,1,0.3144654088050315
KSCP,Top Losers,9,2.8301886792452833
KSS,Insider Selling,2,0.628930817610063
KTOS,Insider Selling,1,0.3144654088050315
KVHI,New High,1,0.3144654088050315
KYN,Insider Buying,5,1.5723270440251573
LAZ,Insider Selling,1,0.3144654088050315
LBGJ,New Low,8,2.515723270440252
LBGJ,Top Losers,5,1.5723270440251573
LCFY,Insider Buying,5,1.5723270440251573
LCUT,New High,15,4.716981132075472
LDOS,Insider Selling,2,0.628930817610063
LGHL,Insider Buying,4,1.257861635220126
LGND,Insider Selling,3,0.9433962264150944
LH,Insider Selling,4,1.257861635220126
LICN,Overbought,1,0.3144654088050315
LICN,Top Gainers,2,0.628930817610063
LITE,New High,1,0.3144654088050315
LMRI,Top Losers,3,0.9433962264150944
LNAI,Most Active,26,8.176100628930817
LNAI,Top Gainers,10,3.1446540880503147
LNKS,Most Active,113,35.53459119496855
LNKS,New Low,68,21.38364779874214
LNKS,Top Gainers,3,0.9433962264150944
LNKS,Top Losers,83,26.10062893081761
LNKS,Unusual Volume,10,3.1446540880503147
LNZA,Top Gainers,1,0.3144654088050315
LPCN,New Low,26,8.176100628930817
LPCN,Top Losers,26,8.176100628930817
LTRN,New Low,8,2.515723270440252
LTRN,Top Losers,3,0.9433962264150944
LTRN,Unusual Volume,3,0.9433962264150944
LUCY,Insider Selling,3,0.9433962264150944
LUD,Top Losers,35,11.0062893081761
LWLG,Insider Selling,2,0.628930817610063
LWLG,New High,51,16.037735849056602
LXU,New High,2,0.628930817610063
MANE,New High,1,0.3144654088050315
MAPS,New Low,24,7.547169811320755
MASI,Downgrades,26,8.176100628930817
MASK,Top Gainers,1,0.3144654088050315
MAXN,New Low,27,8.49056603773585
MAXN,Top Gainers,9,2.8301886792452833
MAXN,Top Losers,24,7.547169811320755
MAXN,Unusual Volume,22,6.918238993710692
MAZE,Top Losers,25,7.861635220125786
MBX,Insider Selling,1,0.3144654088050315
MEOH,New High,1,0.3144654088050315
MGN,New Low,43,13.522012578616351
MGN,Top Gainers,13,4.088050314465408
MGN,Top Losers,26,8.176100628930817
MGNX,New High,51,16.037735849056602
MGRT,New High,35,11.0062893081761
MGRT,Overbought,84,26.41509433962264
MGRT,Top Gainers,33,10.377358490566039
MGRT,Top Losers,5,1.5723270440251573
MGRX,Most Active,1,0.3144654088050315
MGRX,Top Gainers,1,0.3144654088050315
MI,Unusual Volume,9,2.8301886792452833
MIGI,Top Gainers,21,6.60377358490566
MIGO,Unusual Volume,1,0.3144654088050315
MKDW,Top Gainers,31,9.748427672955975
MKDW,Top Losers,9,2.8301886792452833
MKZR,Insider Buying,2,0.628930817610063
MLEC,Top Gainers,25,7.861635220125786
MLTX,Insider Selling,1,0.3144654088050315
MOVE,Top Gainers,9,2.8301886792452833
MPB,Insider Buying,1,0.3144654088050315
MPC,Insider Selling,1,0.3144654088050315
MPLT,New High,7,2.20125786163522
MPTI,New High,22,6.918238993710692
MPWR,Insider Selling,2,0.628930817610063
MRLN,New High,2,0.628930817610063
MRVL,New High,2,0.628930817610063
MSAI,New Low,1,0.3144654088050315
MSTR,Insider Selling,2,0.628930817610063
MSW,Top Losers,1,0.3144654088050315
MTC,New High,19,5.9748427672955975
MTC,Top Losers,1,0.3144654088050315
MTEX,Top Gainers,1,0.3144654088050315
MTRA,Unusual Volume,13,4.088050314465408
MTZ,Insider Selling,2,0.628930817610063
MUNA,Unusual Volume,2,0.628930817610063
MUSA,Insider Selling,5,1.5723270440251573
MXF,Insider Buying,3,0.9433962264150944
NAUT,New High,9,2.8301886792452833
NBIS,Insider Selling,3,0.9433962264150944
NBIS,New High,3,0.9433962264150944
NCI,Top Losers,10,3.1446540880503147
NCNO,Insider Selling,1,0.3144654088050315
NCRA,Unusual Volume,19,5.9748427672955975
NCT,New Low,12,3.7735849056603774
NCT,Top Losers,26,8.176100628930817
NDLS,Top Gainers,24,7.547169811320755
NDSN,Insider Selling,1,0.3144654088050315
NFJ,Insider Buying,2,0.628930817610063
NKE,Downgrades,9,2.8301886792452833
NMG,Top Losers,3,0.9433962264150944
NMR,Insider Buying,7,2.20125786163522
NOK,New High,5,1.5723270440251573
NOTE,New Low,16,5.031446540880504
NPT,Top Losers,2,0.628930817610063
NRGV,Insider Buying,2,0.628930817610063
NSYS,New High,10,3.1446540880503147
NTCL,Overbought,7,2.20125786163522
NTHI,Insider Buying,7,2.20125786163522
NUE,Insider Selling,1,0.3144654088050315
NVNI,Top Losers,21,6.60377358490566
NVNI,Unusual Volume,4,1.257861635220126
NXST,Insider Selling,8,2.515723270440252
NXTT,Top Gainers,25,7.861635220125786
NXTT,Top Losers,5,1.5723270440251573
NXTT,Unusual Volume,24,7.547169811320755
NYT,New High,1,0.3144654088050315
O,Insider Selling,1,0.3144654088050315
OBAI,Oversold,269,84.59119496855347
