symbol,date,open,high,low,close,volume
GVH,2026-03-10,1.19,1.19,1.12,1.17,37608.0
GVH,2026-03-11,1.15,1.18,1.1348,1.17,31826.0
GVH,2026-03-12,1.2129,1.2129,1.11,1.12,45554.0
GVH,2026-03-13,1.1499,1.1499,1.09,1.11,14274.0
GVH,2026-03-16,1.122,1.1455,1.09,1.115,34412.0
GVH,2026-03-17,1.09,1.12,1.05,1.06,28143.0
GVH,2026-03-18,1.05,1.0903,1.0,1.025,35678.0
GVH,2026-03-19,1.03,1.065,0.995,1.04,44775.0
GVH,2026-03-20,1.1332,1.1332,0.973,0.973,16231.0
GVH,2026-03-23,1.02,1.02,0.92,0.92,31899.0
GVH,2026-03-24,0.9065,0.9288,0.8701,0.919,49731.0
GVH,2026-03-25,0.98,0.99,0.9501,0.984,4485.0
GVH,2026-03-26,0.97,1.05,0.9656,1.03,19547.0
GVH,2026-03-27,1.31,1.67,1.215,1.4,19422138.0
GVH,2026-03-30,1.46,1.6,1.3,1.52,1066464.0
GVH,2026-03-31,1.56,2.53,1.43,2.23,6143640.0
GVH,2026-04-01,2.3,2.52,1.8297,2.0,1048473.0
GVH,2026-04-02,2.03,2.74,1.7,2.73,882476.0
GVH,2026-04-06,2.75,2.8,2.2,2.33,517002.0
GVH,2026-04-07,2.34,2.89,2.115,2.82,424503.0
GVH,2026-04-08,2.86,2.86,2.35,2.57,185633.0
GVH,2026-04-09,2.58,2.69,2.4476,2.59,73776.0
GVH,2026-04-10,2.47,2.6599,2.31,2.54,69532.0
GVH,2026-04-13,2.45,2.7176,2.4101,2.66,47344.0
GVH,2026-04-14,2.64,2.68,2.365,2.41,116478.0
GVH,2026-04-15,2.48,2.4895,2.16,2.36,80045.0
GVH,2026-04-16,2.34,2.635,2.26,2.55,88532.0
RENX,2026-02-10,2.892,3.034,2.722,2.8,105363.1
RENX,2026-02-11,5.732,7.0,4.102,4.244,24089555.3
RENX,2026-02-12,4.0,4.16,2.944,3.75,1304837.3
RENX,2026-02-13,3.0,4.058,2.784,3.842,829533.85
RENX,2026-02-17,3.196,3.502,2.66,2.736,539369.45
