symbol,scan_date,catalyst_type,catalyst_strength,gap_percentage,volume_ratio,quality_score,intraday_return,overnight_return,max_return_3d,close_price,volume,float_shares,short_ratio,short_percent,is_runner
HIVE,2025-10-31,TECHNICAL,0,-0.059433962264150854,1.552,81.33200000000001,-0.029850806019357277,0.044230774521122514,0.07500006877459264,5.199999809265137,23746800.0,237265099.0,0.33,0.0,False
HIVE,2025-11-03,CONTRACT,9,0.04423076923076914,0.5798,46.31942939128384,-0.009208050732665146,-0.08550186400781801,-0.03159852652003363,5.380000114440918,25008300.0,237265099.0,0.33,0.0,False
HIVE,2025-11-04,EARNINGS,6,-0.043680297397769574,1.21106,37.159972216423135,0.002032469896262721,0.010142026871370705,0.034482775296816634,4.929999828338623,26305600.0,237265099.0,0.33,0.0,False
HIVE,2025-11-06,TECHNICAL,0,-0.061023622047244194,1.69032,83.54512000000001,-0.04790423892034174,-0.06079663794814071,0.05660376981260899,4.769999980926514,17173600.0,237265099.0,0.33,0.0,False
HIVE,2025-11-07,EARNINGS,4,-0.035639412997903554,0.51371,24.426171945182567,0.049107095815849745,0.07234046093313586,0.07234046093313586,4.699999809265137,21507500.0,237265099.0,0.33,0.0,False
HIVE,2025-11-17,TECHNICAL,0,0.07250755287009056,2.0,88.5,0.07878787703641078,-0.028089861303337953,0.0337079005355176,3.559999942779541,30574100.0,237265099.0,0.33,0.0,False
HNST,2025-11-06,EARNINGS,8,-0.2727272727272727,0.55869,43.57907101556188,-0.06800003051757812,0.0,0.2188841232458327,2.3299999237060547,21868000.0,95111505.0,3.16,0.15560001,True
HNST,2025-11-07,OTHER,3,0.10515021459227472,0.92533,24.097319459328308,0.1437768451142813,0.026266391836690876,0.08442782224083051,2.6649999618530273,13176100.0,95111505.0,3.16,0.15560001,False
HNST,2025-11-12,EARNINGS,4,0.14087301587301587,0.58788,31.253691985350535,0.022388037792902334,-0.010948894629691135,0.0036496315432303786,2.740000009536743,9299500.0,95111505.0,3.16,0.15560001,False
HTZ,2025-10-29,OTHER,3,0.04500978473581204,0.72605,23.55917339712347,0.00190109346189201,-0.005692639452927532,-0.005692639452927532,5.269999980926514,11953300.0,124272598.0,3.28,0.433,False
HTZ,2025-10-30,EARNINGS,1,-0.03605313092979118,1.10879,14.904127573500203,-0.04770992574807927,0.00300608096408642,0.432865816297473,4.989999771118164,11144000.0,124272598.0,3.28,0.433,True
HTZ,2025-11-04,EARNINGS,7,0.17004048582995948,0.69118,38.88270782082911,0.17247391767098766,-0.034175337061165455,0.016344744903811742,6.730000019073486,129775800.0,124272598.0,3.28,0.433,False
HTZ,2025-11-05,OTHER,2,-0.12481426448737008,0.54762,17.06414134889625,0.026923106266902044,-0.005243494119722913,0.03970035339525906,6.675000190734863,32220000.0,124272598.0,3.28,0.433,False
HTZ,2025-11-17,OTHER,3,-0.061946902654867346,0.96981,34.19418274336283,-0.05903397400683097,-0.0114069233851448,0.0038022775772322054,5.260000228881836,13751800.0,124272598.0,3.28,0.433,False
IBIO,2025-10-21,OTHER,2,0.16461366181410977,1.06197,20.10612686349449,0.01834860579271824,-0.07207210980571571,0.5495495553547255,1.1100000143051147,62984800.0,21440974.0,0.16,0.052800003,True
IBIO,2025-10-23,BREAKTHROUGH,7,0.2949640287769785,0.79232,38.94919717555455,-0.25294120864472086,-0.00787400835704065,0.15748035487198048,1.2699999809265137,29642700.0,21440974.0,0.16,0.052800003,False
